FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,EMD_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TITLE_NM,PBLPRFR_KND_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AGE_VALUE,PBLPRFR_TIME_DC,REST_TIME,CST_CN,LAST_UPDT_DE
강릉 원주대학교 해람문화관,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,지변동,,123,죽헌길,7,37.76569493,128.8700048,25457,강원도 강릉시 죽헌길 7,강원도 강릉시 지변동 123 강릉원주대학교,공룡 애니멀 쇼 - 강릉,어린이/가족,20190602,20190602,전체관람가,55분,,,20221130
강릉 원주대학교 해람문화관,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,지변동,,123,죽헌길,7,37.76569493,128.8700048,25457,강원도 강릉시 죽헌길 7,강원도 강릉시 지변동 123 강릉원주대학교,장수상회 - 강릉,연극,20190309,20190310,만 8세이상,90분,,"신구, 이순재, 손숙, 박정수",20221130
강릉아트센터 사임당홀 (대공연장),전시/공연,영화/연극/공연,독립극장,강원도,강릉시,교동,,408,종합운동장길,84,37.77164458,128.8954013,25474,강원도 강릉시 종합운동장길 84,강원도 강릉시 교동 408,제2회 강릉 명주인형극제 - 산너머 개똥아,어린이/가족,20150901,20150901,만 7세이상,60분,,,20221130
강릉아트센터 사임당홀 (대공연장),전시/공연,영화/연극/공연,독립극장,강원도,강릉시,교동,,408,종합운동장길,84,37.77164458,128.8954013,25474,강원도 강릉시 종합운동장길 84,강원도 강릉시 교동 408,친정엄마와 2박3일 - 강릉,연극,20181027,20181028,만 7세이상,100분,,"강부자, 전미선, 유정기, 이요성, 서자영, 김찬훈, 김정아",20221130
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1,평원로,15,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,달나라 연속극,연극,20150814,20150815,전체관람가,90분,,"김지수, 박영출, 박민선",20221130
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1,평원로,15,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,무적의 돈키호테 - 동해,연극,20190327,20190327,중학생이상 관람가,100분,,"김귀선, 박창순, 정찬희, 김수진, 김수영, 김지원, 송은석, 노정현",20221130
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1,평원로,15,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,무정천리 - 동해,연극,20180414,20180414,만 7세이상,90분,,,20221130
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1,평원로,15,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,찔레꽃 - 동해,연극,20190921,20190921,만 7세이상,110분,,,20221130
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1,평원로,15,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,청춘예찬,연극,20151105,20151105,전체관람가,90분,,"김지수, 임우현, 박민선, 정찬희",20221130
명주예술마당,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,49-1,경강로2021번길,9-1,37.75040333,128.8898121,25535,강원도 강릉시 경강로2021번길 9-1,강원도 강릉시 명주동 49-1 명주예술마당,고시원의 햄릿공주 - 강릉,연극,20190329,20190331,만 13세이상,80분,,"이새날, 남태관, 김영호, 서유록",20221130
